Year,Yield KT,Death Percent
1945,0,0
1946,0,0
1948,0,0
1949,22,0.117546461
1950,0,0
1951,80.3,0.415574163
1952,0,0
1953,440.3,2.207053363
1954,121.831,0.600582395
1955,1864.5,9.03239388
1956,1975.8,9.423349246
1957,6233,29.28618681
1958,16251.711,75.23875832
1960,0,0
1961,95698.135,425.4177452
1962,141547.279,621.3558598
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1976,0,0
1977,0,0
1978,0,0
1980,0,0
