Year,BaseDeathsPerKT,Yield KT,Population,Death Percent
1952,5405,25,50429200,0.267949918
1953,5405,18,50592900,0.19229971
1956,5405,142.5,51183500,1.504806236
1957,5405,3053.53,51430200,32.09073589
1958,5405,4849,51652600,50.74061131
