Year,Yield KT,Death Percent
1964,22,0.017027157
1965,35,0.026451198
1966,562,0.41305548
1967,3320,2.378185674
1968,3000,2.093581748
1969,3000,2.036996325
1970,3400,2.245712226
1971,20,0.012852141
1972,178,0.111607485
1973,3000,1.838560446
1974,1000,0.600322097
1976,4200,2.439171148
1977,0,0
1978,11,0.006218069
1980,1000,0.550836446
