Year,Yield KT,Death Percent
1945,0,0
1946,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1960,78,0.904279081
1961,1,0.005720722
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,518,5.562836132
1967,157,1.671239252
1968,4595,48.53097892
1969,0,0
1970,2774,28.8575693
1971,1442,14.88220409
1972,11,0.107510004
1973,22,0.221958804
1974,608,6.13194342
1976,0,0
1977,0,0
1978,0,0
1980,0,0
